Variation,process_step,avg_time_sec
Control,confirm,145.54173228346457
Control,start,60.88127943485086
Control,step_1,47.46019910058808
Control,step_2,90.17537651222122
Control,step_3,133.29830625648117
Test,confirm,217.71982226610714
Test,start,56.25739126673443
Test,step_1,58.48299952111327
Test,step_2,88.10690611471861
Test,step_3,124.82094665162718
