covariate,control_mean,test_mean
clnt_age,47.498427271954434,47.164972736377464
clnt_tenure_yr,12.087686487865007,11.983048332653288
bal,150147.3266595826,148971.54852071666
num_accts,2.2599141411994728,2.249935086613005
calls_6_mnth,3.1292132443575467,3.061908824511295
logons_6_mnth,6.166277043396948,6.101821284172262
